"","ETH.group","tot_births","mbirths","fbirths","year"
"384","WHO",42579.9073087403,21809.2208166719,20770.6864920685,"2042"
"385","BAN",21148.7507339207,10832.2869612765,10316.4637726442,"2043"
"386","BLA",36265.5520031697,18575.0388308918,17690.5131722779,"2043"
"387","BLC",6803.71848458326,3484.83141893289,3318.88706565037,"2043"
"388","CHI",7137.63217767246,3655.8603836859,3481.77179398657,"2043"
"389","IND",37713.2861036809,19316.5611750561,18396.7249286248,"2043"
"390","MIX",54889.7227204622,28114.2482226758,26775.4744977864,"2043"
"391","OAS",22167.3592305461,11354.013264426,10813.34596612,"2043"
"392","OBL",6040.23516546464,3093.77898718921,2946.45617827543,"2043"
"393","OTH",6795.68610478432,3480.71727318221,3314.96883160211,"2043"
"394","PAK",64263.6588879234,32915.5326011315,31348.1262867919,"2043"
"395","WBI",471176.919221612,241334.519601314,229842.399620299,"2043"
"396","WHO",42519.9375754689,21778.5046118255,20741.4329636433,"2043"
"397","BAN",21289.3888122556,10904.3210989602,10385.0677132954,"2044"
"398","BLA",36339.996309213,18613.1688413042,17726.8274679088,"2044"
"399","BLC",6808.26414195284,3487.15968246365,3321.10445948919,"2044"
"400","CHI",7063.842362345,3618.06560022549,3445.77676211951,"2044"
"401","IND",38003.5341821643,19465.224825011,18538.3093571533,"2044"
"402","MIX",55056.0520571509,28199.4412975651,26856.6107595858,"2044"
"403","OAS",22283.4853144742,11413.4924781453,10869.9928363289,"2044"
"404","OBL",6019.45493465613,3083.13545433606,2936.31948032006,"2044"
"405","OTH",6715.64463822528,3439.72042445685,3275.92421376843,"2044"
"406","PAK",65487.9723531619,33542.6199857659,31945.3523673961,"2044"
"407","WBI",470765.663493094,241123.876423292,229641.787069802,"2044"
"408","WHO",42437.3703241608,21736.2140684726,20701.1562556882,"2044"
"409","BAN",21419.9888904238,10971.2138219244,10448.7750684994,"2045"
"410","BLA",36385.1955245438,18636.3196589127,17748.8758656311,"2045"
"411","BLC",6813.19103210981,3489.68321156844,3323.50782054137,"2045"
"412","CHI",6983.46339387109,3576.89588466568,3406.56750920541,"2045"
"413","IND",38258.6070513702,19595.8719043603,18662.7351470098,"2045"
"414","MIX",55208.4414737091,28277.4944133632,26930.9470603459,"2045"
"415","OAS",22396.3040761831,11471.2776975572,10925.0263786259,"2045"
"416","OBL",6001.15546275445,3073.76255409374,2927.39290866071,"2045"
"417","OTH",6636.5194014365,3399.1928641504,3237.3265372861,"2045"
"418","PAK",66721.001228584,34174.1713609821,32546.829867602,"2045"
"419","WBI",470266.702502328,240868.311037778,229398.39146455,"2045"
"420","WHO",42331.3273091777,21681.8993534813,20649.4279556964,"2045"
"421","BAN",21542.4412936717,11033.9333455392,10508.5079481325,"2046"
"422","BLA",36397.8799033522,18642.8165358633,17755.0633674889,"2046"
"423","BLC",6817.5758105499,3491.92907369629,3325.64673685361,"2046"
"424","CHI",6893.76511064532,3530.95286155004,3362.81224909528,"2046"
"425","IND",38477.9190255664,19708.2024277291,18769.7165978373,"2046"
"426","MIX",55345.7366472227,28347.8163315043,26997.9203157184,"2046"
"427","OAS",22505.086515685,11526.995532424,10978.090983261,"2046"
