"","ETH.group","agegrp","sex","deaths","year"
"486","WHO","[55,60)","M",223.389892831011,"2011"
"487","WHO","[60,65)","F",212.527923780926,"2011"
"488","WHO","[60,65)","M",260.545761385192,"2011"
"489","WHO","[65,70)","F",247.164367983564,"2011"
"490","WHO","[65,70)","M",295.225978870507,"2011"
"491","WHO","[70,75)","F",322.916453071239,"2011"
"492","WHO","[70,75)","M",368.744806365502,"2011"
"493","WHO","[75,80)","F",471.346901012778,"2011"
"494","WHO","[75,80)","M",408.943734714283,"2011"
"495","WHO","[80,85)","F",782.381492460301,"2011"
"496","WHO","[80,85)","M",550.73369054111,"2011"
"497","WHO","[85,90)","F",872.288751314281,"2011"
"498","WHO","[85,90)","M",682.984663075628,"2011"
"499","WHO","[90,95)","F",450.912789574786,"2011"
"500","WHO","[90,95)","M",301.781777822388,"2011"
"501","WHO","[95,100)","F",211.666784577754,"2011"
